name,address,postcode,telephone,website,opening_hours,facilities,managed_by
Move Altrincham,"Oakfield Road, Altrincham",WA15 8EW,01617492570,https://twmove.co.uk/altrincham/,"Mon-Fri: 6:30am-10:00pm, Sat-Sun: 8:00am-6:00pm","The new look centre, branded move Altrincham, benefits from a 25m swimming pool, a 20m learner pool, a pool pod to improve accessibility, a combined lobby area with pool viewing and café, a wet village change, an inclusive changing places toilet and The Cove Spa - a stunning health and wellbeing spa facility. There is also a wellness assessment room, an enlarged fitness suite, fitness changing and dry change areas, two flexible studio spaces, an immersive indoor cycle studio, a four-court sports hall and storage, a gymnastics hub and staff rooms, and offices.",Trafford Leisure CIC.
Move Altrincham Parking,"Oakfield Road, Altrincham",WA15 8EW,NA,NA,NA,NA,Trafford Leisure CIC.
Sale Leisure Centre,"Broad Road, Sale",M33 2AL,01617492570,https://traffordleisure.co.uk/centres/sale/,"Mon-Fri: 6:30am-9:30pm, Sat-Sun: 8:00am-6:00pm","Sale has a multifunctional gym, spinning studio, 25-metre main swimming pool & a small kids swimming pool and also a club training pool, spectator area, sports hall, badminton, and more.",Trafford Leisure CIC.
Sale Leisure Centre Parking,"Broad Road/Woodlands Road, Sale",M33 2AL,NA,NA,NA,NA,Parkingeye Ltd.
"Stretford Sports Village, Chester Centre","Great Stone Road, Stretford",M32 0ZS,01617492570,https://traffordleisure.co.uk/centres/stretford-sports-village/,"Mon-Fri: 6.30am-10:00pm, Sat-Sun: 8:00am-6:00pm","Stretford has a multifunctional gym and studio, a ladies gym, a 25-metre swimming pool and a small swimming pool, a sports hall, badminton, and more.",Trafford Leisure CIC.
"Stretford Sports Village, Talbot Centre","Great Stone Road, Stretford",M32 0XA,01617492570,https://traffordleisure.co.uk/centres/stretford-talbot/,"Mon-Fri: 5:00pm-10:00pm, Sat-Sun 9:00am-5:00pm","The Talbot Centre provides the local community with modern leisure, health and wellbeing facilities. The centre provides a comprehensive leisure package with activities and sessions for the whole community.",Trafford Leisure CIC.
"Stretford Sports Village, Chester and Talbot Centres Parking","Great Stone Road, Stretford",M32 0ZS,NA,NA,NA,NA,Trafford Leisure CIC.
"Stretford Sports Village, Old Trafford Sports Barn","Seymour Park, Old Trafford",M16 9PQ,01617492570,https://traffordleisure.co.uk/centres/sports-barn/,"Mon-Fri: 5:00pm-10:00pm, Sat-Sun: 10:00am-6:00pm","Sports Hall (4 x Badminton courts), Outdoor Artificial 3G floodlght pitch, Outdoor Hard Courts, Disabled Changing facilities.",Trafford Leisure CIC.
"Stretford Sports Village, Old Trafford Sports Barn Parking","Seymour Park, Old Trafford",M16 9PQ,NA,NA,NA,NA,Trafford Leisure CIC.
Partington Sports Village,"Chapel Lane, Partington",M31 4ES,01617492570,https://traffordleisure.co.uk/centres/partington/,"Pitch bookings only: Mon-Fri: 5:00pm-10:00pm, Sat-Sun: 9:00am-5:00pm","Due to ongoing refurbishment work at Partington Sports Centre, please be aware that our facilities are currently limited. At this time, only the outdoor football pitches are available for use. For access to swimming, gym facilities, and other activities, we encourage you to visit Sale Leisure Centre or Stretford Leisure Centre.",Trafford Leisure CIC.
Partington Sports Village Parking,"Chapel Lane, Partington",M31 4ES,NA,NA,NA,NA,Trafford Leisure CIC.
Move Urmston,"Bowfell Road, Urmston",M41 5RR,01617492570,https://twmove.co.uk,"Mon-Fri 6:30am-10:00pm, Sat-Sun: 8:00am-6:00pm","Badminton, Birthdays & Events, Clip and Climb, Fitness and Wellbeing Gym, Fitness Classes, Sensory Room, Swimming, Table Tennis",Trafford Leisure CIC.
Move Urmston Parking,"Bowfell Road, Urmston",M41 5RR,NA,NA,NA,NA,Parkingeye Ltd.
The Grammar,"Altrincham Grammar School for Boys, Marlborough Road, Bowdon, Altrincham",WA14 2RS,03452222323,https://www.schoolsplus.co.uk/altrinchamboys/facilities/,"Evenings, Weekends and School Holidays","Altrincham Grammar School for Boys is delighted to partner with Schools Plus to provide the local residents and the community with a wide range of leisure facilities for use. These include a multi-use Astro Pitch, Sports Halls, Dance Studio, Tennis Courts, Cricket Nets and Classrooms for hire.",Altrincham Grammar School for Boys in partnership with Schools Plus.
The Grammar Parking,"Altrincham Grammar School for Boys, Marlborough Road, Bowdon, Altrincham",WA14 2RS,NA,NA,NA,NA,Altrincham Grammar School for Boys in partnership with Schools Plus.
BeActive Urmston,"Kingsway Park, Urmston",M41 7FJ,01614133750,https://www.beactiveurmston.org,"Mon-Fri: 7:00am-9:00pm, Sat-Sun: 9:00am-4:00pm","From our fully-refurbished gym and personal training, to our great class timetable, accessible sports like walking netball, walking football and pickleball, and versatile spaces where you can meet up with others, we help you to achieve your health and wellbeing goals and build a happier, healthier Urmston.",George Carnall Community Group CIC.
BeActive Urmston Parking,"Kingsway Park, Urmston",M41 7FJ,NA,NA,NA,NA,George Carnall Community Group CIC.
